Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,Unique_ID,Image_Path
Local,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Finger Food,  Continental",4.1,2415,2000,1f961b17-f53a-4c55-82e4-0c59e5fb10fb,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/1f961b17-f53a-4c55-82e4-0c59e5fb10fb.png
The G.T. ROAD,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,2363,1500,9feef309-4d26-45db-bf2c-ca7b492d054c,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/9feef309-4d26-45db-bf2c-ca7b492d054c.png
Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Asian",4.2,5016,2000,0a301336-ee5b-4bf7-9f21-d75cd70f8b7b,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/0a301336-ee5b-4bf7-9f21-d75cd70f8b7b.png
The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mediterranean,  Asian,  Italian,  Oriental ",4.2,2821,1800,f6ffc33f-9c6f-49a3-9f90-bc874c047edc,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/f6ffc33f-9c6f-49a3-9f90-bc874c047edc.png
Chili's American Grill and Bar,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Mexican,  American,  Italian",4.4,1094,2000,c3e23ab1-8367-40b0-9938-64c8f9fce658,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/c3e23ab1-8367-40b0-9938-64c8f9fce658.png
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Seafood",3.9,1391,2000,cdf4a5dd-ec4a-4393-8f79-5f168bb7eb47,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/cdf4a5dd-ec4a-4393-8f79-5f168bb7eb47.png
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4,1022,1800,83a7fe17-ab01-4afb-aff7-306b8531073a,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/83a7fe17-ab01-4afb-aff7-306b8531073a.png
QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",4.3,963,2100,79c21b93-060d-48f5-b3d6-cecb1529945c,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/79c21b93-060d-48f5-b3d6-cecb1529945c.png
My Bar Square,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  Italian,  Chinese,  Continental",3.9,506,1500,f7479b6c-a947-4a06-9263-c1b63f4e6dba,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/f7479b6c-a947-4a06-9263-c1b63f4e6dba.png
Ghoomar Traditional Thali Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.2,712,1000,8c6c5714-4e29-42d1-ab5f-42a94d7f0931,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/8c6c5714-4e29-42d1-ab5f-42a94d7f0931.png
Station Bar,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",4.1,2428,2000,5dbdbcee-a34e-40dc-9607-cfaeaf58cbe4,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/5dbdbcee-a34e-40dc-9607-cfaeaf58cbe4.png
